233 221 173 193 208 210 207 202 205 197 202 226 222 222 179 110
222 218 167 189 206 197 199 211 210 186 201 223 220 226 122 87
184 217 163 187 197 190 199 217 231 194 199 186 214 161 83 151
176 218 163 187 190 196 207 221 222 223 214 174 204 106 124 215
186 224 166 193 198 197 215 222 220 213 221 231 213 100 190 218
189 226 165 195 216 201 189 150 148 210 215 213 139 129 219 204
188 224 166 184 214 175 112 102 186 230 200 147 95 171 217 206
182 223 166 195 181 110 95 183 200 235 206 116 113 202 206 196
174 224 177 169 122 93 142 209 176 222 159 118 142 214 197 196
149 221 176 121 101 122 157 214 235 226 196 120 174 204 203 239
147 224 161 116 124 150 127 216 223 228 152 127 203 193 224 241
139 232 148 109 162 131 105 189 225 203 102 145 207 189 233 247
134 225 126 110 143 107 94 145 222 208 121 147 188 172 233 178
153 217 115 96 127 132 98 173 221 232 229 157 188 199 214 148
143 221 113 88 114 117 128 199 223 219 240 202 169 227 194 150
159 220 111 91 115 98 147 215 225 219 233 212 140 189 145 136
